"GEOID","hhs_0k_10k","hhs_100k_125k","hhs_10k_15k","hhs_125k_150k","hhs_150k_200k","hhs_15k_20k","hhs_20k_25k","hhs_25k_30k","hhs_30k_35k","hhs_35k_40k","hhs_40k_45k","hhs_45k_50k","hhs_50k_60k","hhs_60k_75k","hhs_75k_100k","hhs_above_200k","hhs_total","hhs_below_eli","hhs_below_ami50","hhs_below_ami80","hhs_below_ami100","hhs_below_ami120","pct_below_eli","pct_below_ami50","pct_below_ami80","pct_below_ami100","pct_below_ami120"
"482012113005",4,0,44,0,0,68,30,0,37,34,7,0,0,18,28,0,270,146,204.42,225.26,243.456,260.5472,0.540740740740741,0.757111111111111,0.834296296296296,0.901688888888889,0.96498962962963
"482012114001",40,13,43,9,0,54,126,53,33,22,0,18,34,21,0,0,466,270.95,362.86,424.47,444,444,0.581437768240343,0.778669527896996,0.91087982832618,0.952789699570815,0.952789699570815
"482012114002",143,10,136,0,0,76,0,11,0,21,6,0,24,11,0,8,446,356.65,379.23,417.77,428,428,0.799663677130045,0.850291479820628,0.936704035874439,0.959641255605381,0.959641255605381
"482012114003",44,31,78,21,45,56,0,10,44,10,26,23,46,26,49,62,571,179.5,238.3,338.82,365.548,395.4576,0.314360770577933,0.417338003502627,0.59338003502627,0.640189141856392,0.692570227670753
"482012115001",47,0,24,0,0,20,39,19,10,0,59,20,35,11,0,0,284,132.85,159,273.77,284,284,0.467781690140845,0.559859154929577,0.963978873239437,1,1
"482012115002",64,63,45,41,17,94,42,107,33,25,18,79,41,58,36,6,769,261.05,400.75,552.06,607.872,629.8464,0.339466840052016,0.521131339401821,0.717893368010403,0.790470741222367,0.819046033810143
"482012115003",42,9,38,0,0,12,20,59,22,0,53,0,8,23,72,0,358,120.85,193,255.61,280.744,324.6928,0.337569832402235,0.539106145251397,0.713994413407821,0.784201117318436,0.90696312849162
"482012115004",0,0,31,10,0,50,9,61,18,0,25,40,22,16,0,0,282,99.15,169,257.12,272,272,0.351595744680851,0.599290780141844,0.91177304964539,0.964539007092199,0.964539007092199
"482012115005",31,39,27,0,0,19,29,0,0,9,0,0,42,17,26,0,239,106,111.67,158.19,175.352,191.2224,0.443514644351464,0.467238493723849,0.661882845188285,0.733690376569038,0.800093723849372
"482012116001",128,0,30,0,14,129,38,25,60,14,8,25,39,42,37,0,589,328.75,418.82,498.94,539.924,562.5088,0.558149405772496,0.71106960950764,0.847096774193548,0.916679117147708,0.955023429541596
"482012116002",84,44,11,7,0,53,78,6,35,6,39,8,65,16,7,0,459,226.9,270.78,386.12,401.364,405.6368,0.494335511982571,0.589934640522876,0.841220043572985,0.87443137254902,0.883740305010893
"482012117001",227,0,20,0,0,10,55,57,21,36,0,63,63,60,16,12,640,320.55,412.68,556.2,612.832,622.5984,0.500859375,0.6448125,0.8690625,0.95755,0.97281
"482012117002",9,0,54,0,32,10,40,44,0,20,13,10,27,13,0,0,272,119.6,169.6,227.91,240,240,0.439705882352941,0.623529411764706,0.837904411764706,0.882352941176471,0.882352941176471
"482012117003",112,0,22,12,0,91,10,16,71,57,86,19,57,10,0,0,563,237.4,357.91,541.7,551,551,0.421669626998224,0.635719360568384,0.962166962699822,0.978685612788632,0.978685612788632
"482012119001",51,0,48,8,8,52,20,3,76,0,56,0,0,29,16,0,367,171.45,250,308.03,335.832,345.5984,0.46716621253406,0.681198910081744,0.839318801089918,0.915073569482289,0.941685013623978
"482012119002",0,73,30,10,0,77,24,50,50,9,35,9,29,8,48,0,452,138.5,236.67,313.56,323.496,352.7952,0.30641592920354,0.523606194690265,0.693716814159292,0.715699115044248,0.780520353982301
"482012119003",0,9,55,0,0,39,72,8,8,77,0,32,0,92,0,0,392,167.2,230.51,297.44,383,383,0.426530612244898,0.588035714285714,0.758775510204082,0.977040816326531,0.977040816326531
"482012119004",20,7,19,0,0,50,0,30,8,21,9,0,34,44,0,0,242,93.5,140.23,194.08,235,235,0.386363636363636,0.579462809917355,0.80198347107438,0.971074380165289,0.971074380165289
"482012123001",32,0,56,0,0,77,0,46,0,0,9,22,0,78,0,0,320,171.9,211,247.46,320,320,0.5371875,0.659375,0.7733125,1,1
"482012123002",77,0,109,0,0,27,47,36,0,32,63,0,9,0,0,0,400,265.4,316.16,400,400,400,0.6635,0.7904,1,1,1
"482012123003",0,12,11,0,0,28,10,0,0,26,14,0,0,11,40,0,152,49,65.38,89.77,102.08,126.496,0.322368421052632,0.430131578947368,0.590592105263158,0.671578947368421,0.832210526315789
"482012123004",51,9,30,19,0,58,43,48,9,29,0,0,17,9,18,0,340,189.2,257.27,285.63,294.936,305.9232,0.556470588235294,0.756676470588235,0.840088235294118,0.867458823529412,0.899774117647059
"482012123005",0,9,80,35,0,44,45,40,31,19,0,9,17,9,23,20,381,175,251.97,285.63,295.196,309.2352,0.459317585301837,0.661338582677165,0.749685039370079,0.774792650918635,0.81164094488189
"482012124001",24,23,28,0,12,23,0,37,59,7,0,39,34,54,11,0,351,80.55,175.41,254.78,305.572,312.2864,0.229487179487179,0.49974358974359,0.725868945868946,0.870575498575499,0.889704843304843
"482012124002",58,0,10,14,0,26,12,23,10,7,66,0,0,23,25,0,274,109.45,143.41,213.61,236.3,251.56,0.399452554744526,0.523394160583942,0.779598540145985,0.862408759124088,0.918102189781022
"482012124003",46,0,21,5,0,7,17,23,19,0,18,49,18,12,0,0,235,94.45,133,218.84,230,230,0.401914893617021,0.565957446808511,0.931234042553192,0.978723404255319,0.978723404255319
"482012125001",26,8,7,0,0,40,84,8,53,11,100,34,0,42,2,0,415,158.2,224.93,365.94,405.104,406.3248,0.381204819277108,0.542,0.881783132530121,0.97615421686747,0.979095903614458
"482012125002",108,20,26,0,0,42,33,9,20,17,27,8,112,26,73,0,521,210.35,248.71,403.82,431.796,476.3552,0.403742802303263,0.477370441458733,0.775086372360845,0.82878310940499,0.914309404990403
"482012125003",73,6,53,0,0,45,0,0,60,0,0,9,106,0,10,22,384,171,231,346,346.52,352.624,0.4453125,0.6015625,0.901041666666667,0.902395833333333,0.918291666666667
"482012201001",77,3,14,0,6,48,15,34,72,18,26,26,17,22,44,0,422,159.1,271.34,348.54,371.288,398.1456,0.377014218009479,0.642985781990521,0.825924170616114,0.879829383886256,0.943472985781991
"482012201002",5,5,6,4,6,31,24,15,0,17,28,10,32,37,16,6,242,68.25,91.71,170.59,205.832,215.5984,0.28202479338843,0.37896694214876,0.704917355371901,0.850545454545454,0.890902479338843
"482012202001",49,17,43,8,0,40,100,66,4,16,29,0,37,70,77,12,568,241.9,312.08,388.9,458.004,505.0048,0.425880281690141,0.54943661971831,0.684683098591549,0.806345070422535,0.889092957746479
"482012202002",8,12,22,5,7,4,20,41,45,5,26,27,7,32,23,5,289,60.15,143.15,207.24,238.196,252.2352,0.208131487889273,0.495328719723183,0.717093425605536,0.824207612456747,0.87278615916955
"482012203001",9,18,17,6,0,45,54,0,20,20,37,21,0,48,3,0,298,125,157.6,226.36,271.156,272.9872,0.419463087248322,0.528859060402685,0.759597315436242,0.909919463087248,0.916064429530201
"482012203002",0,28,15,0,27,23,16,47,19,25,67,60,10,14,8,0,359,61.05,135.75,282.98,296.416,301.2992,0.170055710306407,0.378133704735376,0.788245125348189,0.825671309192201,0.839273537604457
"482012203003",29,38,37,0,13,71,52,52,0,17,0,8,94,54,60,0,525,196.8,251.71,363.78,417.12,453.744,0.374857142857143,0.479447619047619,0.692914285714286,0.794514285714286,0.864274285714286
"482012204001",51,34,26,0,0,47,21,20,25,29,0,0,81,30,0,0,364,148,208.27,302.1,330,330,0.406593406593407,0.57217032967033,0.829945054945055,0.906593406593407,0.906593406593407
"482012204002",53,37,80,10,9,31,39,50,23,66,49,30,5,69,27,0,578,210.5,317.58,430.83,496.404,512.8848,0.364186851211073,0.549446366782007,0.74538062283737,0.85883044982699,0.887343944636678
"482012204003",66,24,7,0,0,25,15,0,9,51,0,0,9,48,25,0,279,113,154.13,185.36,231.3,246.56,0.405017921146953,0.552437275985663,0.664372759856631,0.829032258064516,0.883727598566308
"482012205001",55,0,0,0,0,31,24,33,56,0,0,0,8,0,9,0,216,114.95,199,207,207.468,212.9616,0.532175925925926,0.921296296296296,0.958333333333333,0.9605,0.985933333333333
"482012205002",147,8,125,0,0,62,28,13,77,5,0,10,45,51,72,17,660,363.95,455.15,515.57,566.744,610.6928,0.551439393939394,0.689621212121212,0.781166666666667,0.85870303030303,0.925292121212121
